"","X1","id","num","percent","landcover"
"1",1,1,1578202681,14.8502073100145,"Grass/Shrub"
"2",2,2,4329118,0.0407351353178415,"Bare Soil"
"3",3,3,252511807,2.37602731722667,"Buildings"
"4",4,4,813476798,7.65446620869526,"Roads/Paved Surfaces"
"5",5,5,432523145,4.06985645567374,"Lakes/Ponds"
"6",6,6,1645488383,15.4833367779398,"Deciduous Tree Canopy"
"7",7,7,98625553,0.928023964061952,"Coniferous Tree Canopy"
"8",8,8,1663747759,15.6551496396311,"Agriculture"
"9",9,9,607551905,5.71680168172533,"Emergent Wetland"
"10",10,10,281669601,2.65038959706283,"Forested/Shrub Wetland"
"11",11,11,98188301,0.923909611118004,"River"
"12",12,12,8630697,0.0812111405099812,"Extraction"
"13",13,0,3142533371,29.569885161023,NA
